date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:05	105666/105666	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2009:39:22%20GMT	https://hubhtml.liquid-themes.com/index-digital-hub.html	/Users/macbook/websites/Acadec%20website/hubhtml.liquid-themes.com/index-digital-hub.html	(from )
12:08:06	715/715	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Feb%202024%2012:08:05%20GMT	https://hubhtml.liquid-themes.com/robots.txt		(from )
12:08:06	8686/8686	---M--	200	added ('OK')	image/jpeg	etag:%2221ee-650c0f4a-1fdfa9;;;%22	https://hubhtml.liquid-themes.com/assets/images/common/og-image.jpg	/Users/macbook/websites/Acadec%20website/hubhtml.liquid-themes.com/assets/images/common/og-image.jpg	(from https://hubhtml.liquid-themes.com/index-digital-hub.html)
12:08:07	3302/3302	---M-Z	200	added ('OK')	text/css	etag:%22ce6-650c0f4a-2767b8;gz%22	https://hubhtml.liquid-themes.com/assets/vendors/liquid-icon/lqd-essentials/lqd-essentials.min.css	/Users/macbook/websites/Acadec%20website/hubhtml.liquid-themes.com/assets/vendors/liquid-icon/lqd-essentials/lqd-essentials.min.css	(from https://hubhtml.liquid-themes.com/index-digital-hub.html)
12:08:10	85985/85985	---M-Z	200	added ('OK')	text/css	etag:%2214fe1-650c0f4a-1bcfa3;gz%22	https://hubhtml.liquid-themes.com/assets/css/utility.min.css	/Users/macbook/websites/Acadec%20website/hubhtml.liquid-themes.com/assets/css/utility.min.css	(from https://hubhtml.liquid-themes.com/index-digital-hub.html)
12:08:10	477476/477476	---M-Z	200	added ('OK')	text/css	etag:%2274924-650c0f4a-1bcfa1;gz%22	https://hubhtml.liquid-themes.com/assets/css/theme.min.css	/Users/macbook/websites/Acadec%20website/hubhtml.liquid-themes.com/assets/css/theme.min.css	(from https://hubhtml.liquid-themes.com/index-digital-hub.html)
12:08:11	3907/3907	---MCZ	200	added ('OK')	text/css	etag:W/%2211e7-650c0f4a-1bb8c3;gz%22	https://hubhtml.liquid-themes.com/assets/css/demo/digital-hub/base.css	/Users/macbook/websites/Acadec%20website/hubhtml.liquid-themes.com/assets/css/demo/digital-hub/base.css	(from https://hubhtml.liquid-themes.com/index-digital-hub.html)
12:08:11	5169/5169	---MCZ	200	added ('OK')	text/css	etag:W/%2219cb-650c0f4a-1bb8c5;gz%22	https://hubhtml.liquid-themes.com/assets/css/demo/digital-hub/digital-hub.css	/Users/macbook/websites/Acadec%20website/hubhtml.liquid-themes.com/assets/css/demo/digital-hub/digital-hub.css	(from https://hubhtml.liquid-themes.com/index-digital-hub.html)
12:08:13	1230/1230	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Feb%202024%2012:08:13%20GMT	https://use.typekit.net/gvb1ffq.css	/Users/macbook/websites/Acadec%20website/use.typekit.net/gvb1ffq.css	(from https://hubhtml.liquid-themes.com/index-digital-hub.html)
12:08:13	226/226	---MC-	200	added ('OK')	text/css	date:Tue,%2006%20Feb%202024%2012:08:13%20GMT	https://fonts.googleapis.com/css2?family=Golos+Text:wght@700&display=swap	/Users/macbook/websites/Acadec%20website/fonts.googleapis.com/css23807.css	(from https://hubhtml.liquid-themes.com/index-digital-hub.html)
